"item_id	item_name	category	department"
"6873	Florida Eisbecher	ice_cream	food"
"6874	Cheeseb. Meat	fast_food	food"
"6875	Cheeseb. Meat MENU	fast_food	food"
"6876	Cheeseb. Meat FRIENDS	fast_food	food"
"6877	Cheeseb. VEGAN	fast_food	food"
"6878	Cheeseb. Vegan MENU	fast_food	food"
"6879	Pommes single	fast_food	food"
"6881	Supreme Cheeseb.	fast_food	food"
"6882	Supreme MENU	fast_food	food"
"6883	Supreme FRIENDS	fast_food	food"
"6885	Maultaschen	fast_food	food"
"6886	halbe Portion Mault.	fast_food	food"
"6887	Burrito-Vegetal	fast_food	food"
"6888	Burrito-Con Carne	fast_food	food"
"6889	Burrito-Pollo	fast_food	food"
"6890	Tomatensosse	slow_food	food"
"6891	Kaesesosse	slow_food	food"
"6892	Pesto	slow_food	food"
"6893	extra Parmesan	slow_food	food"
"6894	Puderzucker	fast_food	food"
"6895	Zimt u. Zucker	fast_food	food"
"6896	Apfelmus	fast_food	food"
"6897	Sosse	fast_food	food"
"6898	Nutella	fast_food	food"
"6899	Cookie Dough	fast_food	food"
"6900	Oreo	fast_food	food"
"6901	extra Sosse	fast_food	food"
"6903	Speck	fast_food	food"
"6904	Classic	fast_food	food"
"6905	Speck double	fast_food	food"
"6906	Classic double	fast_food	food"
"6907	Friends Price	fast_food	food"
"6908	Bratwurst	fast_food	food"
"6909	Kaesekrakauer	fast_food	food"
"6910	Krakauer	fast_food	food"
"6911	Frikadelle	fast_food	food"
"6912	Steak	fast_food	food"
"6913	Pommes	fast_food	food"
"6914	Curry Wurst	fast_food	food"
"6916	Pommes 1	fast_food	food"
"6917	Pommes 2	fast_food	food"
"6918	Nice Fries 1	fast_food	food"
"6919	Nice Fries 2	fast_food	food"
"6920	Langos 1	fast_food	food"
"6921	Langos 2	fast_food	food"
"6922	Langos 3	fast_food	food"
"6923	Langos 4	fast_food	food"
"6924	Langos 5	fast_food	food"
"6925	Langos 7	fast_food	food"
"6926	Langos 8	fast_food	food"
"6927	Langos 9	fast_food	food"
"6928	Wildschweinburger	fast_food	food"
"6929	Extra Pattie	fast_food	food"
"6930	Extra Kaese	fast_food	food"
"6931	Doener Salat+Fleisch	fast_food	food"
"6932	Lahmacun Salat	fast_food	food"
"6933	Lahmacun Salat+Fleisch	fast_food	food"
"6934	Dueruem vegetarisch	fast_food	food"
"6935	Dueruem Salat+Fleisch	fast_food	food"
"6936	Salattasche vegetarisch	fast_food	food"
"6938	Koettbullar Mittel	snack	food"
"6939	Koettbullar Gross	snack	food"
"6940	Koettbullar Mega	snack	food"
"6942	Vegibullar Mittel	snack	food"
"6943	Vegibullar Gross	snack	food"
"6944	Vegibullar Mega	snack	food"
"6945	Food Divers	snack	food"
"6946	Food Divers 1	snack	food"
"6947	Food Divers 2	snack	food"
"6948	Food Divers 3	snack	food"
"6949	Food Divers 4	snack	food"
"6950	Food Divers 5	snack	food"
"6951	Salsiccia Burger	snack	food"
"6952	Marinated Chicken	snack	food"
"6953	Veggie parmigiani	snack	food"
"6954	Vegan	snack	food"
"6955	Extra	snack	food"
"6956	Classy Burger	fast_food	food"
"6957	BBQ Burger	fast_food	food"
"6958	Cheezy Burger	fast_food	food"
"6959	Curryvurst vegan	fast_food	food"
"6960	Jalapenos Extra	fast_food	food"
"6961	Baerlauch Pesto Extra	fast_food	food"
"6962	Grilled Onions Extra	fast_food	food"
"6963	Meat Pattie Extra	fast_food	food"
"6964	Broetchen Extra	fast_food	food"
"6966	Suesskartoffelp. + Sauce	fast_food	food"
"6967	Allg Kaesspatzen	fast_food	food"
"6968	Allg Kaesspatzen kl.	fast_food	food"
"6969	Allg Kaessatzen split	fast_food	food"
"6970	Kugel Cookie Dough	sweets	food"
"6971	Topping	sweets	food"
"6972	Bosna	slow_food	food"
"6973	Suedtir. Spinatknoedel	slow_food	food"
"6975	Chili sin Carne vegan	slow_food	food"
"6977	Mango	snack	food"
"6978	Himbeer	snack	food"
"6979	Erdbeer	snack	food"
"6980	Zitrone	snack	food"
"6981	Mandarine	snack	food"
"6982	Kokos	snack	food"
"6984	Schokolade	snack	food"
"6985	weisse Schokolade	snack	food"
"6986	Pistazie	snack	food"
"6987	Nougat	snack	food"
"6989	Topping Schokolade-Nuss	snack	food"
"6990	Schneeeis	ice_cream	food"
"6991	Schneeeis Gross	ice_cream	food"
"6993	Oliven"
"6994	Paprika"
"6996	1 Euro	fast_food	food"
"6997	2 Euro	fast_food	food"
"6998	3 Euro	fast_food	food"
"6999	4 Euro	fast_food	food"
"7000	5 Euro	fast_food	food"
"7001	Kaffee 0"
"7002	Kaffee 0"
"7003	Kaiserbroetchen	snack	food"
"7004	Steinofenbaguette	snack	food"
"7005	Laugenbrezel	snack	food"
"7006	Schoko Croissant	snack	food"
"7007	Kaese-Schinken-Croissant	snack	food"
"7008	Plunder Mohnschnecke	snack	food"
"7009	Boereckstange Weisskaese	snack	food"
"7010	Boereckstange Hackfl.	snack	food"
"7011	Broetchen mit Salami	snack	food"
"7016	Muffin div. Sorten	snack	food"
"7017	Joghurt F-pueree Muesli	snack	food"
"7018	Obstsalat	snack	food"
"7022	Kakao 0"
"7023	Toilettenpapier 2er Pack	camping	non_food"
"7025	Zahnpasta	camping	non_food"
"7026	Dusch & Shampoo Men	camping	non_food"
"7027	Cremedusche Woman	camping	non_food"
"7028	Kondome 8er	camping	non_food"
"7029	Tampons 32er	camping	non_food"
"7030	Binden 38er	camping	non_food"
"7031	Deospray Men	camping	non_food"
"7032	Deospray Woman	camping	non_food"
"7033	Haende Desinfektionsgel	camping	non_food"
"7040	Banane	snack	food"
"7043	Eiswuerfel	snack	food"
"7044	Chips	snack	food"
"7045	Kekse	snack	food"
"7051	Kaffee + Schoko Muff	snack	food"
"7052	Kaffee + Apfel Muffin	snack	food"
"7053	Kaffee + Blaubeer Muffin	snack	food"
"7054	Kaffee + Schokocroissant	snack	food"
"7055	Tee + Schoko Muffin	snack	food"
"7056	Tee + Apfel Muffin	snack	food"
"7057	Tee + Blaubeer Muffin	snack	food"
"7058	Tee + Schokocroissant	snack	food"
"7059	Kakao + Schoko Muffin	snack	food"
"7060	Kakao + Apfel Muffin	snack	food"
"7061	Kakao + Blaubeer Muffin	snack	food"
